сфера,Суть ачивки,Баллы за ачивку,Название группы (достижения),Монетки за ачивку
,,,,
Каратэ (спорт),,,,
,Занять 1 место на соревнованиях по Ката,,Победитель Ката,0
,Занять 2 место на соревнованиях по Ката,,Серебряный призёр Ката,0
,Занять 3 место на соревнованиях по Ката,,Бронзовый призёр Ката,0
,Занять 1 место на кумитэ,,Победитель Кумитэ,0
,Занять 2 место на кумитэ,,Серебряный призёр Кумитэ,0
,Занять 3 место на кумитэ,,Бронзовый призёр Кумитэ,0
,"Получить приз ""За лучшую технику""",,Техника решает все,0
,"Получить приз ""За волю к победе""",,Длинная воля,0
,Сходить на 5 тренировок подряд,,Каратист - марафонец,0
,Сходить на 10 тренировок подряд,,,0
,Сходить на 15 тренировок подряд,,,0
,Сходить на 20 тренировок подряд,,,0
,Сходить на 25 тренировок подряд,,,0
,Не пропустил за месяц ни одной обязательной тренировки,,Все по плану,0
,Помочь в организации соревнований,,Каратист - помощник,0
,Помочь в организации кю-теста,,,0
,Быть судьёй на соревнованиях 1 раз,,Судья,0
,Быть судьёй на соревнованиях 3 раза,,,0
,Быть судьёй на соревнованиях 5 раз,,,0
,"Набрать на 10 посещений больше, чем нужно по норме за месяц",,Сверх нормы,0
,Сдать нормы ГТО на золотой значек,,Готов к труду и обороне,0
,,,Белый пояс,0
,,,,0
,,,,0
,,,,0
,Научиться завязывать пояс за 10 секунд,,Оранжевый пояс,0
,Выучить Такиёку 1,,,0
,выучить Такиёку 2,,,0
,Выучить Кихон Ката 1,,,0
,Выучить комплекс 10 кю,,,0
,,,Оранжевый пояс с синей полоской,0
,,,,0
,,,,0
,Выучить комплекс 9 кю,,,0
,,,Синий пояс,0
,,,,0
,,,,0
,Выучить комплекс 8кю,,,0
,,,Синий пояс с желтой полоской,0
,,,,0
,,,,0
,Выучить комплекс 7 кю,,,0
,,,Желтый пояс,0
,,,,0
,,,,0
,Выучить комплекс 6 кю,,,0
,,,Желтый пояс с зеленой полоской,0
,,,,0
,,,,0
,Выучить комплекс 5 кю,,,0
,,,Зеленый пояс,0
,,,,0
,,,,0
,Выучить комплекс 4 кю,,,0
,,,Зеленый пояс с коричневой полоской,0
,,,,0
,,,,0
,Выучить комплекс 3 кю,,,0
,,,Коричневый пояс,0
,,,,0
,,,,0
,Выучить комплекс 2 кю,,,0
,Сделать 200 подъемов корпуса,,Качок,0
,Сделать 100 отжиманий подряд,,,0
,Присесть 200 раз,,,0
,Пробежать 1 000 м без остановки,,Марафонец,0
,Пробежать 5 000 м без остановки,,,0
,Пробежать 10 000 м без остановки,,,0
,Пробежать 21 000 м без остановки,,,0
,Пробежать 42 000 м без остановки,,,0
,Сесть на шпагат,,Гибкость,0
,Сесть на все шпагаты,,,0
Творчество,,,,
,Украсить штаб к празднику,,Декоратор,0
,"Распечатать 5 цветных фото, на которых есть волки, и приклеить их в штабе",,,0
,Принести статуэтку волка в штаб,,,0
,Снять ролик социальной рекламы,,Видеогений,0
,Снять ролик про факультет,,,0
,Снять интервью с волком,,,0
,Снять видеообзор,,,0
,Набрать на своем видео про факультет 1000 просмотров,,Любимец публики,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
Учеба,,,,
,Сходить на все пары за неделю,,Умник,0
,Сходить на все пары за 2 недели,,,0
,Сходить на все пары за месяц,,,0
,Сходить на все пары за модуль,,,0
,Сходить на все пары за семестр,,,0
,Закрыть сессию на все пятерки,,Страница в истории,0
,Закрыть сессию с одной четверкой,,Победитель по жизни,0
,Показать 5 презентаций по одному предмету,,Усердие,0
,Провести дополнительное занятие по предмету на 10 человек                                ,,Лектор,0
,Сдать автоматом все предметы,,Нереальность,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
,,,,0
Социальные сети,,,,
,Привлечь 500 подписчиков в личный аккаунт,,Медийная личность,0
,Привлечь 1000 подписчиков в личный аккаунт,,,0
,Привлечь 3000 подписчиков в личный аккаунт,,,0
,Сделать обложку на группу волков ВКонтакте,,Фотошоп-мастер,0
,Сделать аватарку для профиля волков в социальной сети,,,0
,Написать 1 пост для Инстаграма факультета,,Автор,0
